S No.,Value Date,Transaction Date,Cheque Number,Transaction Remarks,Withdrawal Amount (INR ),Deposit Amount (INR ),Balance (INR )
1,05-03-2026,05-03-2026,BR1140219781,NEFT-S8IN26030-RAZORPAY SOFTWARE PVT,0.00,999.00,"8,80,999.00"
2,05-03-2026,05-03-2026,BR2456519950,BY TRANSFER-NEFT*UTIB260302427777*RZP,0.00,"78,354.71","9,59,353.71"
3,05-03-2026,05-03-2026,BR4395491341,RAZORPAY SETTLEMENT KKBK260302237609,0.00,998.50,"9,60,352.21"
4,06-03-2026,06-03-2026,BR1181293235,RAZORPAY SETTLEMENT UTIB260303341090,0.00,"1,266.04","9,61,618.25"
5,06-03-2026,06-03-2026,BR2377594771,BY TRANSFER-NEFT*HDFC26030*RZP,0.00,"7,148.49","9,68,766.74"
6,06-03-2026,06-03-2026,BR7038858946,NEFT-KKBK26030395-RAZORPAY SOFTWARE PVT,0.00,"10,911.46","9,79,678.20"
7,07-03-2026,07-03-2026,BR5713158339-P1,RAZORPAY SETTLEMENT PART 1/3 KKBK260302286106/1,0.00,"5,847.19","9,85,525.39"
8,07-03-2026,07-03-2026,BR8564158979-P1,RAZORPAY SETTLEMENT PART 1/3 KKBK260304568933/1,0.00,"2,794.61","9,88,320.00"
9,08-03-2026,09-03-2026,BR8564158979-P2,RAZORPAY SETTLEMENT PART 2/3 KKBK260304568933/2,0.00,"2,445.28","9,90,765.28"
10,08-03-2026,09-03-2026,BR8564158979-P3,BY TRANSFER-NEFT*KKBK260304568933/3*RZP,0.00,"1,746.64","9,92,511.92"
11,09-03-2026,09-03-2026,BR4025395043,RAZORPAY SETTLEMENT SBIN260305145578,0.00,"3,421.91","9,95,933.83"
12,09-03-2026,09-03-2026,BR5010123502,BY TRANSFER-NEFT*HDFC26030*RZP,0.00,"38,065.69","10,33,999.52"
13,09-03-2026,09-03-2026,BR5713158339-P2,RAZORPAY SETTLEMENT PART 2/3 KKBK260302286106/2,0.00,"2,436.33","10,36,435.85"
14,09-03-2026,09-03-2026,BR6662425929,RAZORPAY SETTLEMENT UTIB260304769699,0.00,"5,715.46","10,42,151.31"
15,09-03-2026,09-03-2026,BR7219128501,RAZORPAY SETTLEMENT SBIN260303119580,0.00,"21,939.20","10,64,090.51"
16,09-03-2026,09-03-2026,BR8716330201-STALE,RAZORPAY SETTLEMENT SBIN260305433140,0.00,"2,442.97","10,66,533.48"
17,09-03-2026,09-03-2026,BR9873735148,RAZORPAY SETTLEMENT KKBK260304985959,0.00,"7,831.37","10,74,364.85"
18,09-03-2026,10-03-2026,BR4009144065,IMPS/P2A/ICIC260304455/RAZORPAY/SETTL,0.00,"2,358.25","10,76,723.10"
19,10-03-2026,10-03-2026,BR0425585262,RAZORPAY SETTLEMENT HDFC260307400501,0.00,"85,264.78","11,61,987.88"
20,10-03-2026,10-03-2026,BR1074485001-STALE,RAZORPAY SETTLEMENT UTIB260306572805,0.00,"4,882.69","11,66,870.57"
21,10-03-2026,10-03-2026,BR2176032252,RAZORPAY SETTLEMENT ICIC260306463948,0.00,"2,798.00","11,69,668.57"
22,10-03-2026,10-03-2026,BR5713158339-P3,RAZORPAY SETTLEMENT PART 3/3 KKBK260302286106/3,0.00,"1,461.80","11,71,130.37"
23,10-03-2026,10-03-2026,BR7219666309,RAZORPAY SETTLEMENT UTIB260306650834,0.00,"3,499.00","11,74,629.37"
24,10-03-2026,10-03-2026,BR7379588855,TRF FROM RAZORPAY REF KKBK26030800 CR,0.00,"2,999.00","11,77,628.37"
25,10-03-2026,10-03-2026,BR8716330201-REV,REV/RETURN NEFT SBIN260305433140 BENEFICIARY,"2,442.97",0.00,"11,75,185.40"
26,11-03-2026,11-03-2026,BR1074485001-REV,REV/RETURN NEFT UTIB260306572805 BENEFICIARY,"4,882.69",0.00,"11,70,302.71"
27,11-03-2026,11-03-2026,BR3849801427,RAZORPAY SETTLEMENT HDFC260306705235,0.00,"2,55,007.21","14,25,309.92"
28,11-03-2026,11-03-2026,BR5197572027,RAZORPAY SETTLEMENT UTIB260309693866,0.00,"1,299.00","14,26,608.92"
29,11-03-2026,11-03-2026,BR6741065350,RAZORPAY SETTLEMENT UTIB260309166785,0.00,"10,507.91","14,37,116.83"
30,11-03-2026,12-03-2026,BR7354193596-P1,RAZORPAY SETTLEMENT PART 1/2 SBIN260306637931/1,0.00,"5,964.65","14,43,081.48"
31,11-03-2026,12-03-2026,BR7822441447,RAZORPAY SETTLEMENT KKBK260307253837,0.00,249.50,"14,43,330.98"
32,12-03-2026,12-03-2026,BR0047177915,RAZORPAY SETTLEMENT UTIB260310755208,0.00,"47,806.62","14,91,137.60"
33,12-03-2026,12-03-2026,BR1074485001-RE,RE-SETL RAZORPAY UTIB260306572805,0.00,"4,882.69","14,96,020.29"
34,12-03-2026,12-03-2026,BR2693709508,RAZORPAY SETTLEMENT HDFC260310287233,0.00,"5,602.66","15,01,622.95"
35,12-03-2026,12-03-2026,BR3352760204-STALE,RAZORPAY SETTLEMENT KKBK260310688623,0.00,"3,420.55","15,05,043.50"
36,12-03-2026,12-03-2026,BR6612956643,RAZORPAY SETTLEMENT SBIN260310973733,0.00,"5,498.00","15,10,541.50"
37,12-03-2026,12-03-2026,BR8135799710,RAZORPAY SETTLEMENT ICIC260310382146,0.00,"1,198.50","15,11,740.00"
38,11-03-2026,13-03-2026,BR7902942899,RAZORPAY SETTLEMENT ICIC260306992840,0.00,"34,856.68","15,46,596.68"
39,12-03-2026,13-03-2026,BR4483546475,MB/ICIC260310592431/RAZORPAYSOFT/PAYOUT,0.00,"3,169.53","15,49,766.21"
40,12-03-2026,13-03-2026,BR5324169839-P1,IMPS/P2A/ICIC260309125271/1/RAZORPAY/SETTL,0.00,"6,839.03","15,56,605.24"
41,13-03-2026,13-03-2026,BR2247071835,RAZORPAY SETTLEMENT HDFC260310768238,0.00,"7,208.85","15,63,814.09"
42,13-03-2026,13-03-2026,BR2508280186,NEFT-UTIB2603115-RAZORPAY SOFTWARE PVT,0.00,"2,999.00","15,66,813.09"
43,13-03-2026,13-03-2026,BR3352760204-REV,REV/RETURN NEFT KKBK260310688623 BENEFICIARY,"3,420.55",0.00,"15,63,392.54"
44,13-03-2026,13-03-2026,BR5324169839-P2,RAZORPAY SETTLEMENT PART 2/2 ICIC260309125271/2,0.00,"5,595.58","15,68,988.12"
45,13-03-2026,13-03-2026,BR7354193596-P2,RAZORPAY SETTLEMENT PART 2/2 SBIN260306637931/2,0.00,"4,880.18","15,73,868.30"
46,13-03-2026,13-03-2026,BR7470856412,TRF FROM RAZORPAY REF UTIB260311264486 CR,0.00,"8,897.13","15,82,765.43"
47,13-03-2026,13-03-2026,BR8764695732,BY TRANSFER-NEFT*KKBK260310270551*RZP,0.00,"10,382.88","15,93,148.31"
48,13-03-2026,14-03-2026,BR8333039578,RAZORPAY SETTLEMENT SBIN260310873247,0.00,"10,998.50","16,04,146.81"
49,14-03-2026,14-03-2026,BR3352760204-RE,RE-SETL RAZORPAY KKBK260310688623,0.00,"3,420.55","16,07,567.36"
50,14-03-2026,14-03-2026,BR8430088649,RAZORPAY SETTLEMENT ICIC260308698310,0.00,"2,435.60","16,10,002.96"
51,16-03-2026,16-03-2026,BR3393451439,RAZORPAY SETTLEMENT KKBK260312428909,0.00,"7,799.49","16,17,802.45"
52,16-03-2026,17-03-2026,BR0317352786,IMPS/P2A/SBIN260312309950/RAZORPAY/SETTL,0.00,"44,161.45","16,61,963.90"
53,16-03-2026,17-03-2026,BR6523964590,RAZORPAY SETTLEMENT ICIC260312936782,0.00,"92,990.27","17,54,954.17"
54,17-03-2026,17-03-2026,BR0901419578,TRF FROM RAZORPAY REF UTIB260313 CR,0.00,"19,079.04","17,74,033.21"
55,17-03-2026,17-03-2026,BR1053976777,RAZORPAY SETTLEMENT HDFC260312712279,0.00,"35,068.95","18,09,102.16"
56,17-03-2026,17-03-2026,BR6097715946,RAZORPAY SETTLEMENT UTIB260312422565,0.00,"18,205.88","18,27,308.04"
57,17-03-2026,17-03-2026,BR8626850052,RAZORPAY SETTLEMENT KKBK260313348462,0.00,"53,203.89","18,80,511.93"
58,18-03-2026,18-03-2026,BR0785308019,RAZORPAY SETTLEMENT KKBK260316402288,0.00,"1,797.50","18,82,309.43"
59,18-03-2026,18-03-2026,BR1741263105,NEFT-ICIC260316860-RAZORPAY SOFTWARE PVT,0.00,"3,420.55","18,85,729.98"
60,18-03-2026,18-03-2026,BR5832000705,IMPS/P2A/KKBK260316176165/RAZORPAY/SETTL,0.00,"1,499.00","18,87,228.98"
61,17-03-2026,19-03-2026,BR2085566960,RAZORPAY SETTLEMENT HDFC260315057859,0.00,"88,971.54","19,76,200.52"
62,19-03-2026,19-03-2026,BR4242093956,RAZORPAY SETTLEMENT SBIN260317776153,0.00,"2,925.75","19,79,126.27"
63,19-03-2026,19-03-2026,BR4351280888,RAZORPAY SETTLEMENT SBIN260316648348,0.00,"4,384.86","19,83,511.13"
64,19-03-2026,19-03-2026,BR5303226289,RAZORPAY SETTLEMENT HDFC260317323681,0.00,"65,819.59","20,49,330.72"
65,19-03-2026,19-03-2026,BR7807484372-P1,NEFT-ICIC260316161818/1-RAZORPAY SOFTWARE PVT,0.00,"3,097.52","20,52,428.24"
66,19-03-2026,19-03-2026,BR9271602735,RAZORPAY SETTLEMENT HDFC260317472864,0.00,"5,323.96","20,57,752.20"
67,19-03-2026,20-03-2026,BR5569951906,RAZORPAY SETTLEMENT ICIC260316419945,0.00,929.53,"20,58,681.73"
68,20-03-2026,20-03-2026,BR8162649405,RAZORPAY SETTLEMENT SBIN260314036175,0.00,"9,856.42","20,68,538.15"
69,19-03-2026,21-03-2026,BR1520819572,RAZORPAY SETTLEMENT SBIN260317714196,0.00,"44,442.21","21,12,980.36"
70,20-03-2026,22-03-2026,BR1368978579,RAZORPAY SETTLEMENT ICIC260317766169,0.00,"1,999.00","21,14,979.36"
71,20-03-2026,22-03-2026,BR7807484372-P2,RAZORPAY SETTLEMENT PART 2/2 ICIC260316161818/2,0.00,"1,327.52","21,16,306.88"
72,23-03-2026,23-03-2026,BR1756827041,RAZORPAY SETTLEMENT HDFC260316829401,0.00,"11,420.91","21,27,727.79"
73,23-03-2026,23-03-2026,BR5021510775,RAZORPAY SETTLEMENT SBIN260318320080,0.00,"5,846.80","21,33,574.59"
74,24-03-2026,24-03-2026,BR1336775215,RAZORPAY SETTLEMENT HDFC260320490843,0.00,639.86,"21,34,214.45"
75,24-03-2026,24-03-2026,BR2426515136,ACH C- RAZORPAY-SETTLEMENT-ICIC260320319,0.00,"11,223.93","21,45,438.38"
76,24-03-2026,24-03-2026,BR6991291956,RAZORPAY SETTLEMENT UTIB260321616104,0.00,"1,999.00","21,47,437.38"
77,24-03-2026,24-03-2026,BR7780221795,RAZORPAY SETTLEMENT ICIC260320061636,0.00,"28,325.52","21,75,762.90"
78,24-03-2026,25-03-2026,BR0653457188,BY TRANSFER-NEFT*HDFC260318056064*RZP,0.00,"7,795.09","21,83,557.99"
79,24-03-2026,26-03-2026,BR0526742059,RAZORPAY SETTLEMENT HDFC260320930018,0.00,"14,885.33","21,98,443.32"
