entry_id,booked_on,kind,order_ref,expected_amount_inr,memo
INV-0P9O6K4M,2026-03-02,receivable,,"3,416.42",INV INV-0P9O6K4M domestic sale
INV-14XS68BP,2026-03-02,receivable,,"5,857.42",INV INV-14XS68BP domestic sale
INV-2A2M2FUY,2026-03-02,receivable,order_2a2m2fuy1fpluy,"1,950.85",INV INV-2A2M2FUY domestic sale
INV-3B8GVBNZ,2026-03-02,receivable,order_3b8gvbnzb1zt9f,"32,428.30",INV INV-3B8GVBNZ domestic sale
INV-3E4LJBDJ,2026-03-02,receivable,,975.42,INV INV-3E4LJBDJ domestic sale
INV-4F3RNKQB,2026-03-02,receivable,order_4f3rnkqbj7jq2d,"3,416.42",INV INV-4F3RNKQB domestic sale
INV-5LF1YNMF,2026-03-02,receivable,,"4,685.26",INV INV-5LF1YNMF domestic sale
INV-7KLC63BF,2026-03-02,receivable,,"9,078.57",INV INV-7KLC63BF domestic sale
INV-8OHYVYSY,2026-03-02,receivable,order_8ohyvysy8uftww,"9,763.02",INV INV-8OHYVYSY domestic sale
INV-8XDBW8NQ,2026-03-02,receivable,,"4,392.82",INV INV-8XDBW8NQ domestic sale
INV-96C3908N,2026-03-02,receivable,order_96c3908nwy2z3m,780.14,INV INV-96C3908N domestic sale
INV-9D6AZ2N6,2026-03-02,receivable,order_9d6az2n61rkfct,"1,267.37",INV INV-9D6AZ2N6 domestic sale
INV-9INN1IQY,2026-03-02,receivable,,"4,392.82",INV INV-9INN1IQY domestic sale
INV-9JMDEH2Z,2026-03-02,receivable,order_9jmdeh2zz1h8tj,"9,763.02",INV INV-9JMDEH2Z domestic sale
INV-B4Z1H2Y9,2026-03-02,receivable,order_b4z1h2y9iq84b6,"77,428.81",INV INV-B4Z1H2Y9 domestic sale
INV-E26UVAVW,2026-03-02,receivable,order_e26uvavw1seixc,"2,439.05",INV INV-E26UVAVW domestic sale
INV-EIXEARAJ,2026-03-02,receivable,order_eixearajnhajil,"3,416.42",INV INV-EIXEARAJ domestic sale
INV-EL4HN8P6,2026-03-02,receivable,order_el4hn8p6suss2e,"1,268.34",INV INV-EL4HN8P6 domestic sale
INV-ENE27VP2,2026-03-02,receivable,,974.94,INV INV-ENE27VP2 domestic sale
INV-IDKDGUYJ,2026-03-02,receivable,order_idkdguyj9dk6ys,"4,196.57",INV INV-IDKDGUYJ domestic sale
INV-IPUF6FYS,2026-03-02,receivable,,"10,738.45",INV INV-IPUF6FYS domestic sale
INV-JD2N15T5,2026-03-02,receivable,order_jd2n15t5gngv4r,487.22,INV INV-JD2N15T5 domestic sale
INV-K2UIYOF4,2026-03-02,receivable,,"1,951.82",INV INV-K2UIYOF4 domestic sale
INV-KGW47G23,2026-03-02,receivable,order_kgw47g230lg3ln,"72,561.96",INV INV-KGW47G23 domestic sale
INV-L14WBJNP,2026-03-02,receivable,order_l14wbjnpughaoe,"1,951.82",INV INV-L14WBJNP domestic sale
INV-LCN7TB54,2026-03-02,receivable,,"3,416.42",INV INV-LCN7TB54 domestic sale
INV-LEUVSBV4,2026-03-02,receivable,,"1,268.34",INV INV-LEUVSBV4 domestic sale
INV-LFJIUJ6A,2026-03-02,receivable,order_lfjiuj6aiwqcnk,"1,951.82",INV INV-LFJIUJ6A domestic sale
INV-LN7MLD2T,2026-03-02,receivable,order_ln7mld2toksdkh,"5,857.42",INV INV-LN7MLD2T domestic sale
INV-N1LYWGAY,2026-03-02,receivable,,975.42,INV INV-N1LYWGAY domestic sale
INV-NRUHHWUR,2026-03-02,receivable,order_nruhhwurmz7c5u,"9,763.02",INV INV-NRUHHWUR domestic sale
INV-NUIZXD7C,2026-03-02,receivable,order_nuizxd7czmfc92,487.22,INV INV-NUIZXD7C domestic sale
INV-O42VIKRO,2026-03-02,receivable,,"5,857.42",INV INV-O42VIKRO domestic sale
INV-O4MXS3HK,2026-03-02,receivable,,"8,297.94",INV INV-O4MXS3HK domestic sale
INV-P0OE879J,2026-03-02,receivable,,487.22,INV INV-P0OE879J domestic sale
INV-QNTIRYRC,2026-03-02,receivable,order_qntiryrce51gpu,"1,951.82",INV INV-QNTIRYRC domestic sale
INV-VP53CQNB,2026-03-02,receivable,order_vp53cqnb4kcj2h,"9,030.24",INV INV-VP53CQNB domestic sale
INV-WE1AYI9R,2026-03-02,receivable,order_we1ayi9rs4k8kb,"7,810.22",INV INV-WE1AYI9R domestic sale
INV-YT7CKF59,2026-03-02,receivable,,"3,416.42",INV INV-YT7CKF59 domestic sale
INV-YY4373J0,2026-03-02,receivable,order_yy4373j0m1uudg,"7,809.74",INV INV-YY4373J0 domestic sale
INV-ZVM7JQEU,2026-03-02,receivable,,487.22,INV INV-ZVM7JQEU domestic sale
INV-0G2KCUDT,2026-03-03,receivable,order_0g2kcudt2vqbsd,"1,951.82",INV INV-0G2KCUDT domestic sale
INV-0QEXRZ5U,2026-03-03,receivable,order_0qexrz5uhv0c5k,"2,928.22",INV INV-0QEXRZ5U domestic sale
INV-1AEMDQM0,2026-03-03,receivable,order_1aemdqm0r84g76,"1,462.65",INV INV-1AEMDQM0 domestic sale
INV-2PMS4GZR,2026-03-03,receivable,order_2pms4gzr7z7oqi,"2,440.02",INV INV-2PMS4GZR domestic sale
INV-2PWA7X2D,2026-03-03,receivable,,"4,392.82",INV INV-2PWA7X2D domestic sale
INV-3ONWCBRR,2026-03-03,receivable,,"7,321.05",INV INV-3ONWCBRR domestic sale
INV-42QO2XT5,2026-03-03,receivable,,"10,738.45",INV INV-42QO2XT5 domestic sale
INV-4KS1TUW9,2026-03-03,receivable,,"5,857.42",INV INV-4KS1TUW9 domestic sale
INV-4OMP1QZ9,2026-03-03,receivable,order_4omp1qz90s0rup,"2,928.22",INV INV-4OMP1QZ9 domestic sale
INV-6OTIHWN6,2026-03-03,receivable,,780.14,INV INV-6OTIHWN6 domestic sale
INV-96EQWKC1,2026-03-03,receivable,order_96eqwkc11pdod8,"4,391.85",INV INV-96EQWKC1 domestic sale
INV-B4OEPXB4,2026-03-03,receivable,,"2,439.54",INV INV-B4OEPXB4 domestic sale
INV-BP4FMW5H,2026-03-03,receivable,order_bp4fmw5hibuxbe,"5,124.64",INV INV-BP4FMW5H domestic sale
INV-E1TQETUZ,2026-03-03,receivable,order_e1tqetuz6c3lom,"1,951.82",INV INV-E1TQETUZ domestic sale
INV-FDX9K26Z,2026-03-03,receivable,order_fdx9k26zww06eq,"1,463.62",INV INV-FDX9K26Z domestic sale
INV-H003AFIY,2026-03-03,receivable,,"7,810.22",INV INV-H003AFIY domestic sale
INV-HGS4HZ0Y,2026-03-03,receivable,,"6,832.85",INV INV-HGS4HZ0Y domestic sale
INV-IXSUOUUL,2026-03-03,receivable,order_ixsuouulnfw3iv,"13,179.45",INV INV-IXSUOUUL domestic sale
INV-JUOAXGSP,2026-03-03,receivable,order_juoaxgspiwe5t6,"2,928.22",INV INV-JUOAXGSP domestic sale
INV-KCEPUH45,2026-03-03,receivable,,780.14,INV INV-KCEPUH45 domestic sale
INV-L97NY2MA,2026-03-03,receivable,,"2,928.22",INV INV-L97NY2MA domestic sale
INV-LBQKLO90,2026-03-03,receivable,,"3,416.42",INV INV-LBQKLO90 domestic sale
INV-LG2TT872,2026-03-03,receivable,order_lg2tt87235bmoa,"7,810.22",INV INV-LG2TT872 domestic sale
INV-MRMLGE5D,2026-03-03,receivable,,"5,857.42",INV INV-MRMLGE5D domestic sale
INV-MXS4M1S9,2026-03-03,receivable,,975.42,INV INV-MXS4M1S9 domestic sale
INV-N928B0JB,2026-03-03,receivable,,"2,928.22",INV INV-N928B0JB domestic sale
INV-NZAZQ92Q,2026-03-03,receivable,order_nzazq92qzvwaij,"6,247.50",INV INV-NZAZQ92Q domestic sale
INV-O5KYUK6J,2026-03-03,receivable,,"7,810.22",INV INV-O5KYUK6J domestic sale
INV-Q2AOJVMV,2026-03-03,receivable,order_q2aojvmv6oea4q,"1,268.34",INV INV-Q2AOJVMV domestic sale
INV-QPWRLL61,2026-03-03,receivable,order_qpwrll61uor8y9,"8,297.94",INV INV-QPWRLL61 domestic sale
INV-SL1LKLIG,2026-03-03,receivable,order_sl1lkligwibl2z,"10,738.94",INV INV-SL1LKLIG domestic sale
INV-SW5HJIOQ,2026-03-03,receivable,order_sw5hjioq845abz,"4,361.98",INV INV-SW5HJIOQ USD 54.00 @ 82.7299
INV-T960TIDD,2026-03-03,receivable,order_t960tiddb2zh0d,"1,940.07",INV INV-T960TIDD USD 24.00 @ 82.7903
INV-VANTTMCO,2026-03-03,receivable,order_vanttmcosj3lsh,"2,928.22",INV INV-VANTTMCO domestic sale
INV-VVVHOLPU,2026-03-03,receivable,order_vvvholpuhlhk1g,"3,416.42",INV INV-VVVHOLPU domestic sale
INV-WB8Q6GY7,2026-03-03,receivable,,"1,755.57",INV INV-WB8Q6GY7 domestic sale
INV-XYWERR9D,2026-03-03,receivable,order_xywerr9dhrzkq1,"9,273.85",INV INV-XYWERR9D domestic sale
INV-Z38V8SUF,2026-03-03,receivable,,"88,214.25",INV INV-Z38V8SUF domestic sale
INV-Z5B71X17,2026-03-03,receivable,,"3,416.42",INV INV-Z5B71X17 domestic sale
INV-ZL3VOIN3,2026-03-03,receivable,order_zl3voin3zn6qtd,"29,932.68",INV INV-ZL3VOIN3 domestic sale
INV-ZRLQAD6C,2026-03-03,receivable,order_zrlqad6coyb7h8,"4,636.44",INV INV-ZRLQAD6C domestic sale
INV-2D2T2MBD,2026-03-04,receivable,,"1,755.57",INV INV-2D2T2MBD domestic sale
INV-67MHFHPZ,2026-03-04,receivable,order_67mhfhpz7u8pxa,"4,370.03",INV INV-67MHFHPZ USD 54.00 @ 82.8826
INV-6O3I8WQJ,2026-03-04,receivable,order_6o3i8wqj333hy5,"89,356.46",INV INV-6O3I8WQJ domestic sale
INV-8BYDZ9N4,2026-03-04,receivable,,"4,392.82",INV INV-8BYDZ9N4 domestic sale
INV-8GEQ6IT1,2026-03-04,receivable,order_8geq6it112kkjj,"2,000.16",INV INV-8GEQ6IT1 domestic sale
INV-8RE9XXFS,2026-03-04,receivable,,"1,951.82",INV INV-8RE9XXFS domestic sale
INV-93J1E0S8,2026-03-04,receivable,order_93j1e0s803b9z0,975.42,INV INV-93J1E0S8 domestic sale
INV-BBZ8QEE6,2026-03-04,receivable,order_bbz8qee6d9he0m,"7,810.22",INV INV-BBZ8QEE6 domestic sale
INV-BZ8WTP1D,2026-03-04,receivable,order_bz8wtp1dk7gj2a,"1,462.65",INV INV-BZ8WTP1D domestic sale
INV-DRPGTA7X,2026-03-04,receivable,,"1,951.82",INV INV-DRPGTA7X domestic sale
INV-EJQKW914,2026-03-04,receivable,order_ejqkw9141vym08,"4,881.02",INV INV-EJQKW914 domestic sale
INV-F15T7IHN,2026-03-04,receivable,order_f15t7ihnqh71ki,"1,755.57",INV INV-F15T7IHN domestic sale
INV-G7NFG07F,2026-03-04,receivable,order_g7nfg07fb2i9rw,"4,880.05",INV INV-G7NFG07F domestic sale
INV-H8TAZFC7,2026-03-04,receivable,,"1,268.34",INV INV-H8TAZFC7 domestic sale
INV-HYT0P5TJ,2026-03-04,receivable,order_hyt0p5tjifrcqf,"3,422.79",INV INV-HYT0P5TJ USD 42.00 @ 83.4649
INV-I2CD6DMY,2026-03-04,receivable,,"11,714.85",INV INV-I2CD6DMY domestic sale
INV-I8TFQQAA,2026-03-04,receivable,order_i8tfqqaavzvtnx,"2,440.02",INV INV-I8TFQQAA domestic sale
INV-JR1X6D1A,2026-03-04,receivable,order_jr1x6d1awtcpy5,"7,810.22",INV INV-JR1X6D1A domestic sale
INV-KA4IG5YP,2026-03-04,receivable,order_ka4ig5ypi8m0xn,"7,801.95",INV INV-KA4IG5YP USD 97.00 @ 82.3766
INV-LV8HB240,2026-03-04,receivable,order_lv8hb240b1ppf7,"2,928.22",INV INV-LV8HB240 domestic sale
INV-MVR2T4TZ,2026-03-04,receivable,order_mvr2t4tznogkuk,"4,906.20",INV INV-MVR2T4TZ USD 61.00 @ 82.3736
